customer_state,order_purchase_date,Total_sales
BA,2017-11-28,5579.1900000000005
BA,2017-11-29,1822.0900000000001
BA,2017-11-30,490.74
BA,2017-12-01,4481.200000000001
BA,2017-12-02,605.1800000000001
BA,2017-12-03,1131.17
BA,2017-12-04,3004.87
BA,2017-12-05,1279.23
BA,2017-12-06,1545.75
BA,2017-12-07,7844.900000000001
BA,2017-12-08,2475.61
BA,2017-12-09,616.85
BA,2017-12-10,713.36
BA,2017-12-11,2602.3500000000004
BA,2017-12-12,1194.06
BA,2017-12-13,2021.2800000000002
BA,2017-12-14,1444.8
BA,2017-12-15,513.09
BA,2017-12-16,461.55
BA,2017-12-17,815.22
BA,2017-12-18,981.06
BA,2017-12-19,1646.0100000000002
BA,2017-12-20,303.57000000000005
BA,2017-12-21,466.98
BA,2017-12-22,1084.53
BA,2017-12-23,68.63
BA,2017-12-24,388.02
BA,2017-12-25,2098.77
BA,2017-12-26,1844.1699999999998
BA,2017-12-27,779.1399999999999
BA,2017-12-28,223.32
BA,2017-12-29,1301.87
BA,2017-12-30,1310.5
BA,2017-12-31,659.66
BA,2018-01-01,453.86
BA,2018-01-02,623.45
BA,2018-01-03,1167.93
BA,2018-01-04,2090.5299999999997
BA,2018-01-05,1670.9299999999998
BA,2018-01-06,1077.99
BA,2018-01-07,1092.79
BA,2018-01-08,2176.85
BA,2018-01-09,1163.65
BA,2018-01-10,985.47
BA,2018-01-11,2137.94
BA,2018-01-12,6211.849999999999
BA,2018-01-13,1685.5400000000002
BA,2018-01-14,429.52
BA,2018-01-15,1833.0299999999997
BA,2018-01-16,2169.86
BA,2018-01-17,1165.35
BA,2018-01-18,682.3100000000001
BA,2018-01-19,2781.01
