customer_state,order_purchase_year,order_purchase_week,Total_orders
PE,2017,30,13
PE,2017,31,16
PE,2017,32,16
PE,2017,33,19
PE,2017,34,11
PE,2017,35,20
PE,2017,36,10
PE,2017,37,20
PE,2017,38,18
PE,2017,39,16
PE,2017,4,5
PE,2017,40,11
PE,2017,41,18
PE,2017,42,16
PE,2017,43,20
PE,2017,44,12
PE,2017,45,17
PE,2017,46,20
PE,2017,47,44
PE,2017,48,32
PE,2017,49,21
PE,2017,5,6
PE,2017,50,24
PE,2017,51,20
PE,2017,52,19
PE,2017,6,9
PE,2017,7,1
PE,2017,8,5
PE,2017,9,12
PE,2018,1,27
PE,2018,10,28
PE,2018,11,23
PE,2018,12,29
PE,2018,13,17
PE,2018,14,16
PE,2018,15,19
PE,2018,16,28
PE,2018,17,34
PE,2018,18,42
PE,2018,19,29
PE,2018,2,21
PE,2018,20,36
PE,2018,21,16
PE,2018,22,23
PE,2018,23,21
PE,2018,24,29
PE,2018,25,23
PE,2018,26,20
PE,2018,27,24
PE,2018,28,20
PE,2018,29,29
PE,2018,3,28
PE,2018,30,31
PE,2018,31,28
PE,2018,32,38
PE,2018,33,28
PE,2018,34,18
PE,2018,35,1
PE,2018,36,1
PE,2018,37,1
PE,2018,4,20
PE,2018,5,21
PE,2018,6,27
PE,2018,7,23
PE,2018,8,31
PE,2018,9,28
PI,2017,10,6
PI,2017,11,4
PI,2017,12,1
PI,2017,13,4
PI,2017,14,3
PI,2017,15,4
PI,2017,16,2
PI,2017,17,4
PI,2017,18,2
PI,2017,19,3
PI,2017,20,7
PI,2017,21,7
PI,2017,22,2
PI,2017,23,7
PI,2017,24,3
PI,2017,25,4
PI,2017,26,4
PI,2017,27,1
PI,2017,28,1
PI,2017,29,2
PI,2017,3,1
PI,2017,30,7
PI,2017,31,2
PI,2017,32,1
PI,2017,33,8
PI,2017,34,3
PI,2017,35,6
PI,2017,36,2
PI,2017,37,7
PI,2017,38,8
PI,2017,39,6
PI,2017,4,2
PI,2017,40,7
PI,2017,41,5
PI,2017,42,7
PI,2017,43,7
PI,2017,44,3
PI,2017,45,4
PI,2017,46,4
PI,2017,47,15
PI,2017,48,5
PI,2017,49,4
PI,2017,5,3
PI,2017,50,4
PI,2017,51,3
PI,2017,52,4
PI,2017,6,3
PI,2017,7,1
PI,2017,9,4
PI,2018,1,4
PI,2018,10,4
PI,2018,11,4
PI,2018,12,5
PI,2018,13,7
PI,2018,14,6
PI,2018,15,6
PI,2018,16,9
PI,2018,17,7
PI,2018,18,9
PI,2018,19,7
PI,2018,2,6
PI,2018,20,4
PI,2018,21,9
PI,2018,22,2
PI,2018,23,9
PI,2018,24,11
PI,2018,25,6
PI,2018,26,9
PI,2018,27,6
PI,2018,28,2
PI,2018,29,8
PI,2018,3,8
PI,2018,30,8
PI,2018,31,5
PI,2018,32,13
PI,2018,33,14
PI,2018,34,6
PI,2018,35,2
PI,2018,4,10
PI,2018,5,9
PI,2018,6,8
PI,2018,7,9
PI,2018,8,4
PI,2018,9,6
PR,2016,35,1
PR,2016,40,8
PR,2017,1,4
PR,2017,10,27
PR,2017,11,30
PR,2017,12,35
PR,2017,13,35
PR,2017,14,35
PR,2017,15,14
PR,2017,16,22
PR,2017,17,29
PR,2017,18,38
