customer_city,order_purchase_date,Total_sales
Aguas de Lindoia,2018-03-30,119.48
Aguas de Lindoia,2018-04-05,263.8
Aguas de Lindoia,2018-04-29,190.5
Aguas de Lindoia,2018-05-08,68.89
Aguas de Lindoia,2018-05-16,319.99
Aguas de Lindoia,2018-06-01,95.78
Aguas de Lindoia,2018-06-28,42.75
Aguas de Lindoia,2018-07-04,92.88
Aguas de Lindoia,2018-08-17,65.87
Aguas de Santa Barbara,2017-03-24,837.76
Aguas de Santa Barbara,2017-05-14,102.87
Aguas de Santa Barbara,2017-09-20,67.0
Aguas de Santa Barbara,2017-10-02,311.96
Aguas de Santa Barbara,2017-12-01,214.32
Aguas de Santa Barbara,2018-02-18,32.96
Aguas de Santa Barbara,2018-04-21,165.78
Aguas de Santa Barbara,2018-05-22,255.04
Aguas de Santa Barbara,2018-08-01,42.87
Aguas de Sao Pedro,2018-02-04,242.94
Aguas de Sao Pedro,2018-02-23,319.45
Aguas de Sao Pedro,2018-07-19,61.09
Agudo,2017-12-19,32.1
Agudo,2018-08-27,58.09
Agudos,2017-03-10,77.03
Agudos,2017-05-16,141.48
Agudos,2017-05-30,55.09
Agudos,2017-09-01,50.37
Agudos,2017-09-20,262.14
Agudos,2017-10-13,51.79
Agudos,2017-10-30,102.96
Agudos,2017-11-30,83.5
Agudos,2017-12-04,52.59
Agudos,2017-12-08,70.91
Agudos,2018-01-10,203.68
Agudos,2018-02-21,140.41
Agudos,2018-03-06,70.89
Agudos,2018-03-19,86.08000000000001
Agudos,2018-04-18,91.96000000000001
Agudos,2018-06-25,451.56
Agudos,2018-07-19,103.06
Agudos,2018-08-01,81.82
Agudos,2018-08-05,101.81
Agudos,2018-08-07,84.24
Agudos,2018-08-16,32.69
Agudos,2018-08-21,29.99
Aguia Branca,2018-04-11,29.0
Aimores,2017-06-10,117.94
Aimores,2017-10-11,157.33999999999997
Aimores,2017-11-29,69.97
Aimores,2018-01-24,62.01
Aimores,2018-03-11,42.269999999999996
Aimores,2018-04-11,214.56
Aimores,2018-05-05,91.19
Aimores,2018-05-13,174.75
Aimores,2018-08-02,54.379999999999995
Aiquara,2018-02-05,233.81
Aiquara,2018-08-05,46.69
Aiuaba,2018-05-03,64.05
Aiuruoca,2017-02-26,72.14
Aiuruoca,2017-08-06,65.31
Aiuruoca,2018-05-14,65.0
Aiuruoca,2018-08-03,162.57999999999998
Ajapi,2017-11-16,121.34
Ajuricaba,2017-09-16,133.61
Ajuricaba,2018-03-29,115.35000000000001
Ajuricaba,2018-07-25,57.23
Alagoa,2018-04-17,47.92
Alagoa,2018-06-06,631.2
Alagoa Grande,2018-06-19,224.0
Alagoa Grande,2018-07-20,178.52
Alagoinha,2017-05-06,65.05
Alagoinha,2018-04-16,246.78
Alagoinha,2018-06-18,274.47
Alagoinha do Piaui,2017-12-14,97.87
Alagoinha do Piaui,2018-05-23,375.53
Alagoinhas,2017-03-01,294.4
Alagoinhas,2017-03-22,239.28
Alagoinhas,2017-04-02,143.65
Alagoinhas,2017-05-04,155.10000000000002
Alagoinhas,2017-05-05,148.71
Alagoinhas,2017-05-29,152.72
Alagoinhas,2017-06-01,77.03
Alagoinhas,2017-06-07,108.10000000000001
Alagoinhas,2017-08-06,376.28999999999996
Alagoinhas,2017-08-08,70.7
Alagoinhas,2017-08-19,185.68
Alagoinhas,2017-09-04,170.71
Alagoinhas,2017-10-03,58.18
Alagoinhas,2017-10-12,330.13
Alagoinhas,2017-10-24,137.21
Alagoinhas,2017-11-10,78.65
Alagoinhas,2017-11-12,63.12
Alagoinhas,2017-11-21,99.78999999999999
Alagoinhas,2017-11-24,317.59
Alagoinhas,2018-01-03,99.7
Alagoinhas,2018-01-05,470.22
Alagoinhas,2018-01-29,805.06
Alagoinhas,2018-02-26,115.57
Alagoinhas,2018-03-03,126.23
Alagoinhas,2018-03-12,46.92
Alagoinhas,2018-04-01,106.97
Alagoinhas,2018-04-27,175.54999999999998
Alagoinhas,2018-05-07,205.18
Alagoinhas,2018-05-13,294.76
Alagoinhas,2018-05-28,171.75
Alagoinhas,2018-06-03,111.1
Alagoinhas,2018-06-06,142.67000000000002
Alagoinhas,2018-06-13,112.11999999999999
Alagoinhas,2018-07-20,65.78999999999999
Alagoinhas,2018-07-26,811.6999999999999
Alagoinhas,2018-08-04,153.68
Alagoinhas,2018-08-10,68.63
Alagoinhas,2018-08-18,46.92
Alambari,2017-04-19,82.82
Alambari,2018-02-06,71.82
Alambari,2018-02-08,113.33000000000001
Alambari,2018-02-10,432.83
Alcantara,2017-09-07,308.3
Alcantara,2018-07-17,889.6600000000001
Alcinopolis,2017-03-20,73.49
Alcinopolis,2017-05-22,36.22
Alcinopolis,2017-11-06,323.68
Alcinopolis,2018-01-28,38.04
Alcinopolis,2018-02-09,41.089999999999996
Alcinopolis,2018-02-27,131.69
Alcobaca,2018-01-19,519.84
Alecrim,2017-08-14,161.46
Alegre,2017-02-02,213.71
Alegre,2017-02-16,147.99
Alegre,2017-02-18,221.98000000000002
Alegre,2017-05-06,495.26
Alegre,2017-07-10,117.85000000000001
Alegre,2017-08-03,324.2
Alegre,2017-11-09,356.84
Alegre,2017-12-13,231.27
Alegre,2018-01-15,417.15999999999997
Alegre,2018-01-24,116.94
Alegre,2018-02-04,252.85
Alegre,2018-02-10,268.9
Alegre,2018-02-20,90.47
Alegre,2018-03-05,354.01
Alegre,2018-03-14,256.56
Alegre,2018-03-15,96.69
Alegre,2018-03-20,55.31
Alegre,2018-04-21,146.60000000000002
Alegre,2018-05-16,175.87
Alegre,2018-06-13,200.35
Alegre,2018-07-23,133.28
Alegre,2018-08-03,90.97
Alegre,2018-08-05,165.70000000000002
Alegre,2018-08-14,200.35
Alegre,2018-08-20,162.91000000000003
Alegrete,2017-03-08,417.55
Alegrete,2017-04-05,154.85
Alegrete,2017-04-21,986.6
Alegrete,2017-05-26,122.97
Alegrete,2017-06-27,100.16
Alegrete,2017-07-01,227.38
Alegrete,2017-07-02,65.53
Alegrete,2017-07-06,72.14
Alegrete,2017-08-15,149.49
Alegrete,2017-09-17,41.089999999999996
Alegrete,2017-11-04,227.76
Alegrete,2017-11-05,200.34
Alegrete,2017-12-11,67.5
Alegrete,2017-12-12,82.33
Alegrete,2017-12-26,178.9
Alegrete,2018-01-02,227.38
Alegrete,2018-01-05,51.040000000000006
Alegrete,2018-01-28,1512.41
Alegrete,2018-02-14,145.18
Alegrete,2018-02-20,122.96000000000001
