order_purchase_date,avg_order_delivery_time_in_day
2018-06-19,1.1076339301310043E8
2018-06-20,1.0979321860465117E8
2018-06-21,1.205558076923077E8
2018-06-22,1.20205156424581E8
2018-06-23,1.1753565100671141E8
2018-06-24,9.766266331658292E7
2018-06-25,9.435327731092437E7
2018-06-26,1.0580339748953974E8
2018-06-27,1.1485169158878505E8
2018-06-28,1.1101709128630705E8
2018-06-29,1.1988961714285715E8
2018-06-30,1.1471124193548387E8
2018-07-01,9.890667515923567E7
2018-07-02,9.731436923076923E7
2018-07-03,1.0591000921658987E8
2018-07-04,9.79227250996016E7
2018-07-05,1.1964637305699483E8
2018-07-06,1.2703418181818181E8
2018-07-07,1.1862050561797753E8
2018-07-08,1.3279866101694915E8
2018-07-09,1.2471984246575342E8
2018-07-10,1.2265262790697674E8
2018-07-11,1.5490829268292683E8
2018-07-12,1.6253184615384614E8
2018-07-13,1.5807225E8
2018-07-14,1.526380985915493E8
2018-07-15,1.4550270198675495E8
2018-07-16,1.2310551037344398E8
2018-07-17,1.2459275E8
2018-07-18,1.1355142574257426E8
2018-07-19,1.1736972289156626E8
2018-07-20,1.2128276113360325E8
2018-07-21,1.1695177173913044E8
2018-07-22,1.0219094366197184E8
2018-07-23,1.0549014765100671E8
2018-07-24,1.0359527819548872E8
2018-07-25,1.104412159090909E8
2018-07-26,1.0683482926829268E8
2018-07-27,1.196898989361702E8
2018-07-28,1.1390156896551724E8
2018-07-29,9.819371739130434E7
2018-07-30,1.041813E8
2018-07-31,1.0139212025316456E8
2018-08-01,1.1586726470588236E8
2018-08-02,1.1938694178082192E8
2018-08-03,1.246560192926045E8
2018-08-04,1.1741384810126582E8
2018-08-05,1.0483534191176471E8
2018-08-06,1.0993687397260274E8
2018-08-07,1.0773968644067797E8
2018-08-08,1.0769722044728434E8
2018-08-09,1.1070118505338079E8
2018-08-10,1.2212985542168675E8
2018-08-11,1.1130107486631016E8
2018-08-12,1.0157563212435234E8
2018-08-13,9.802692253521127E7
2018-08-14,1.0127264423076923E8
2018-08-15,1.0016556293706293E8
2018-08-16,1.0058180696202531E8
2018-08-17,1.0283238645418327E8
2018-08-18,9.75158860103627E7
2018-08-19,8.848264390243903E7
2018-08-20,7.694946428571428E7
2018-08-21,7.361886554621848E7
2018-08-22,7.55136E7
2018-08-23,7.290266197183098E7
2018-08-24,6.90151875E7
2018-08-25,5.590617391304348E7
2018-08-26,4.386131506849315E7
2018-08-27,3.266382089552239E7
2018-08-28,2.4617307692307692E7
2018-08-29,1.6681909090909092E7
2018-08-30,
2018-08-31,
2018-09-03,
2018-09-06,
2018-09-10,
2018-09-11,
2018-09-12,
2018-09-13,
2018-09-17,
2018-09-20,
2018-09-25,
2018-09-26,
2018-09-29,
2018-10-01,
2018-10-03,
2018-10-16,
2018-10-17,
