customer_city,order_purchase_year,order_purchase_week,Total_sales
Almirante Tamandare,2017,22,67.5
Almirante Tamandare,2017,24,706.6
Almirante Tamandare,2017,26,154.72
Almirante Tamandare,2017,29,28.09
Almirante Tamandare,2017,35,70.97999999999999
Almirante Tamandare,2017,39,272.11
Almirante Tamandare,2017,40,142.13
Almirante Tamandare,2017,46,83.77
Almirante Tamandare,2017,47,100.17999999999999
Almirante Tamandare,2017,49,327.25
Almirante Tamandare,2018,14,393.73
Almirante Tamandare,2018,15,820.35
Almirante Tamandare,2018,19,167.11
Almirante Tamandare,2018,20,116.43
Almirante Tamandare,2018,22,44.089999999999996
Almirante Tamandare,2018,26,292.87
Almirante Tamandare,2018,27,262.93
Almirante Tamandare,2018,28,59.64
Almirante Tamandare,2018,30,26.07
Almirante Tamandare,2018,31,270.84
Almirante Tamandare,2018,4,530.34
Almirante Tamandare,2018,5,29.0
Almirante Tamandare,2018,6,22.71
Almirante Tamandare,2018,9,221.22
Alpercata,2017,51,53.9
Alpercata,2018,23,40.87
Alpestre,2017,46,136.98000000000002
Alpinopolis,2017,16,41.21
Alpinopolis,2017,20,75.16
Alpinopolis,2017,30,136.71
Alpinopolis,2017,32,57.510000000000005
Alpinopolis,2017,5,30.1
Alpinopolis,2017,6,89.17
Alpinopolis,2018,19,209.12
Alpinopolis,2018,20,82.58000000000001
Alpinopolis,2018,24,60.42
Alpinopolis,2018,30,231.27
Alpinopolis,2018,33,123.73
Alta Floresta,2017,1,106.97
Alta Floresta,2017,29,268.18
Alta Floresta,2017,3,69.49
Alta Floresta,2017,32,186.03
Alta Floresta,2017,38,79.11
Alta Floresta,2017,39,107.0
Alta Floresta,2017,5,128.07
Alta Floresta,2017,8,58.18
Alta Floresta,2018,17,262.96000000000004
Alta Floresta,2018,23,454.35999999999996
Alta Floresta,2018,24,262.12
Alta Floresta,2018,33,80.91
Alta Floresta,2018,4,319.41
Altamira,2017,12,262.35
Altamira,2017,14,75.53
Altamira,2017,19,64.74
Altamira,2017,24,106.10999999999999
Altamira,2017,27,152.18
Altamira,2017,30,85.91
Altamira,2017,32,149.23
Altamira,2017,33,721.8900000000001
Altamira,2017,36,362.19000000000005
Altamira,2017,37,149.82
Altamira,2017,38,313.55
Altamira,2017,40,754.56
Altamira,2017,5,281.4
Altamira,2017,52,66.03999999999999
Altamira,2018,10,166.16
Altamira,2018,12,157.37
Altamira,2018,17,235.95000000000002
Altamira,2018,24,94.12
Altamira,2018,5,116.51
Altamira,2018,6,124.33000000000001
Altamira,2018,8,56.9
Altamira,2018,9,224.76
Altamira do Parana,2018,33,239.78
Altaneira,2017,21,93.55000000000001
Altaneira,2017,42,130.03
Altaneira,2018,33,130.02
Alterosa,2018,15,391.21999999999997
Alterosa,2018,3,36.69
Altinho,2018,29,607.4
Altinopolis,2017,26,1284.25
Altinopolis,2018,1,72.48
Altinopolis,2018,7,80.87
Alto Alegre,2017,21,237.32
Alto Alegre,2018,20,76.17
Alto Alegre,2018,34,165.72
Alto Alegre do Iguacu,2017,30,185.36
Alto Alegre do Iguacu,2018,28,83.00999999999999
Alto Alegre do Iguacu,2018,30,75.75
Alto Alegre do Maranhao,2018,31,123.32000000000001
Alto Alegre do Pindare,2017,7,67.84
Alto Alegre do Pindare,2018,27,259.56
Alto Araguaia,2017,10,387.66999999999996
Alto Araguaia,2018,1,78.64
Alto Araguaia,2018,24,158.45000000000002
Alto Araguaia,2018,30,62.74
Alto Araguaia,2018,31,133.42000000000002
Alto Araguaia,2018,5,166.16
Alto Araguaia,2018,9,485.59000000000003
Alto Boa Vista,2017,30,91.0
Alto Boa Vista,2017,39,42.94
Alto Boa Vista,2018,30,90.94
Alto Boa Vista,2018,4,46.69
Alto Boa Vista,2018,9,91.0
Alto Caparao,2017,51,197.5
Alto Caparao,2018,31,324.58
Alto Garcas,2017,46,252.89
Alto Garcas,2017,49,91.74
Alto Garcas,2018,32,65.58
Alto Horizonte,2017,45,392.1
Alto Horizonte,2018,23,71.05
Alto Jequitiba,2017,21,91.69
Alto Jequitiba,2017,28,77.57
Alto Jequitiba,2018,16,106.16999999999999
Alto Jequitiba,2018,22,192.92000000000002
Alto Mutum Preto,2018,29,125.53
Alto Paraguai,2018,17,137.24
Alto Paraiso,2017,32,112.42000000000002
Alto Paraiso de Goias,2017,23,58.26
Alto Paraiso de Goias,2017,39,1445.65
Alto Paraiso de Goias,2017,48,64.96
Alto Paraiso de Goias,2017,51,105.28
Alto Paraiso de Goias,2017,52,178.8
Alto Paraiso de Goias,2018,17,1011.9200000000001
Alto Paraiso de Goias,2018,18,497.38
Alto Paraiso de Goias,2018,21,29.9
Alto Parana,2017,11,137.89
Alto Parana,2017,14,150.89000000000001
Alto Parana,2017,23,119.75999999999999
Alto Parana,2018,20,222.19
Alto Parana,2018,27,53.83
Alto Paraíso,2018,8,73.15
Alto Parnaiba,2017,17,429.16999999999996
Alto Parnaiba,2017,26,117.1
Alto Parnaiba,2018,17,155.39000000000001
Alto Parnaiba,2018,3,63.15
Alto Parnaiba,2018,30,183.29000000000002
Alto Piquiri,2017,16,432.5
